|11-10-2017 11:14:00:275 |  PASS TS_01 loginMyVehicles MyVehicles CHROME
|11-10-2017 11:14:00:279 | 
|11-10-2017 11:14:00:280 |  ***** changeNickname (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 11:14:41:097 |  FAIL TC_001 changeNickname MyVehicles CHROME
|11-10-2017 11:14:45:871 | 
|11-10-2017 11:14:45:871 |  ***** loginOverview (com.rsi.kma.automation.testScripts.Regression.Overview) STARTS ***** 
|11-10-2017 11:16:41:775 | 
|11-10-2017 11:16:41:776 |  ***** loginMyVehicles (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 11:34:58:433 | 
|11-10-2017 11:34:58:433 |  ***** loginMyVehicles (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 11:36:18:005 |  PASS TS_01 loginMyVehicles MyVehicles CHROME
|11-10-2017 11:36:18:010 | 
|11-10-2017 11:36:18:010 |  ***** changeNickname (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 11:36:58:996 |  FAIL TC_001 changeNickname MyVehicles CHROME
|11-10-2017 11:37:05:594 | 
|11-10-2017 11:37:05:594 |  ***** loginOverview (com.rsi.kma.automation.testScripts.Regression.Overview) STARTS ***** 
|11-10-2017 11:39:15:367 | 
|11-10-2017 11:39:15:368 |  ***** loginMyVehicles (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 11:41:07:450 |  PASS TS_01 loginMyVehicles MyVehicles CHROME
|11-10-2017 11:41:07:457 | 
|11-10-2017 11:41:07:457 |  ***** changeNickname (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 11:51:29:711 | 
|11-10-2017 11:51:29:712 |  ***** loginMyVehicles (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 11:53:02:557 |  PASS TS_01 loginMyVehicles MyVehicles CHROME
|11-10-2017 11:53:02:561 | 
|11-10-2017 11:53:02:562 |  ***** checkVIN (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 11:53:42:971 |  PASS TC_002 checkVIN MyVehicles CHROME
|11-10-2017 11:53:49:101 | 
|11-10-2017 11:53:49:101 |  ***** loginOverview (com.rsi.kma.automation.testScripts.Regression.Overview) STARTS ***** 
|11-10-2017 11:54:58:613 |  PASS TS_01 loginOverview Overview CHROME
|11-10-2017 11:58:38:868 | 
|11-10-2017 11:58:38:869 |  ***** loginMyVehicles (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 12:00:28:234 |  PASS TS_01 loginMyVehicles MyVehicles CHROME
|11-10-2017 12:00:28:237 | 
|11-10-2017 12:00:28:238 |  ***** checkVIN (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 12:00:28:590 |  PASS TC_002 checkVIN MyVehicles CHROME
|11-10-2017 12:00:33:847 | 
|11-10-2017 12:00:33:847 |  ***** loginOverview (com.rsi.kma.automation.testScripts.Regression.Overview) STARTS ***** 
|11-10-2017 12:01:43:608 |  PASS TS_01 loginOverview Overview CHROME
|11-10-2017 12:03:44:685 | 
|11-10-2017 12:03:44:686 |  ***** loginMyVehicles (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 12:05:12:828 |  PASS TS_01 loginMyVehicles MyVehicles CHROME
|11-10-2017 12:05:12:832 | 
|11-10-2017 12:05:12:833 |  ***** checkVIN (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 12:05:53:218 |  PASS TC_002 checkVIN MyVehicles CHROME
|11-10-2017 12:05:58:297 | 
|11-10-2017 12:05:58:297 |  ***** loginOverview (com.rsi.kma.automation.testScripts.Regression.Overview) STARTS ***** 
|11-10-2017 12:08:23:709 |  FAIL TS_01 loginOverview Overview CHROME
|11-10-2017 12:08:24:056 |  SKIP TC_001 checkSupportLink Overview CHROME
|11-10-2017 12:12:55:343 | 
